date,user,text,retweets,favorites,mentions,hashtags,geolocation
2020-04-09 13:34:57+00:00,JaszyAsIwanaB,I know I joked heavily about the person responsible for those Tyler Perry wigs but I just read that person passed away from covid-19. That’s really sad and unfortunate,0,0,,,
2020-04-09 13:32:17+00:00,omarmuniz9,COVID-19 is spreading in nursing homes. Texas won't share details. ,0,0,,,
2020-04-09 13:29:13+00:00,GreenvilleISD,People with no symptoms have the potential to unknowingly spread COVID-19! That’s why it’s best for everyone in your family to stay at home and away from others as much as possible until instructed otherwise from state and local officials. #StayHomeTexas,3,4,,#StayHomeTexas,
2020-04-09 13:27:24+00:00,mbrinkerhoff,More coronavirus patients testing positive again after recovery: report ,0,0,,,
2020-04-09 13:27:24+00:00,Blydawg,Thinking of starting a COVID Coffee Confessions during my morning walk with the wife...have any questions I can answer?,0,2,,,
2020-04-09 13:27:06+00:00,mdsmelser,#CCPVirus_Coronavirus is China’s doing and the #WHO is its accomplice.,0,1,,#CCPVirus_Coronavirus #WHO,
2020-04-09 13:13:29+00:00,AlexMoosePerez,"I may btch a lot about how things are at the present but at least I have Tony, Moose and Laffy Daffy along this crazy ride in life w me. #greatful #coronavirus #lockdown #jail #time #anthonybourdain #moose @White… https://www.instagram.com/p/B-wumevHuxx/?igshid=1ntyrophcq8sw",0,0,,#greatful #coronavirus #lockdown #jail #time #anthonybourdain #moose,
2020-04-09 13:07:55+00:00,SandraDsAdvent1,My dil had contact with a possible covid patient yesterday so trips are at home with my son until the test comes back to.....,0,2,,,
2020-04-09 12:56:02+00:00,Fash_n_Curious,"Often, we only heed warnings when they’re at our doorsteps. Well, Covid-19 is sitting at our dining tables; daring us to go outside. Unfortunately, African Americans are hit the hardest by the virus. (Swipe) We MUST… https://www.instagram.com/p/B-wsme_jYWv/?igshid=186rxqv8nax2x",0,0,,,
2020-04-09 12:52:09+00:00,ProphecyDepot,"Pompeo speaks with Netanyahu about coronavirus, Iran’s ‘destabilizing behavior’ https://prophecynewsstand.blogspot.com/2020/04/pompeo-speaks-with-netanyahu-about.html",4,7,,,
2020-04-09 12:43:46+00:00,t_poage27,Happy COVID 19th Broski!!! Thank you for being such an amazing human!!! I am so thankful to have you in my life!!! Thank you for all the laughs always!!! I love you a lot Broski!! celebrate hard (but of course at home) ,2,5,,,
2020-04-09 12:43:12+00:00,dallasweekly,"Today in Dallas Weekly News we provide an update to the city’s hospital bed count. #COVID Emergency relief funding for artists and we honor Earl G. Graves, Sr. . . #iamdw #culturecurrent #dwn #dallasweekly #covidnews… https://www.instagram.com/p/B-wq2jVJADg/?igshid=lrk26tcyslcc",0,0,,#COVID #iamdw #culturecurrent #dwn #dallasweekly #covidnews,
2020-04-09 12:32:56+00:00,DrRodRohrich,Join us today #FacebookLive @AiRSFoundation #breastcancer during #COVIDー19 @HaddockMD @DrRodRohrich @prsjournal #drdebbfarr #StayHome #coronavirus @morganhare @mdsource_ #givingback,0,0,@AiRSFoundation @HaddockMD @DrRodRohrich @prsjournal @morganhare @mdsource_,#FacebookLive #breastcancer #COVID #drdebbfarr #StayHome #StayHome #coronavirus #givingback,
2020-04-09 12:29:49+00:00,Marknovakusa,Is that not the very issue with the spread of the #Coronavirus in the first place?,0,0,,#Coronavirus,
2020-04-09 12:27:31+00:00,Marknovakusa,No one one the Trump administration would say Trump was worried about the #coronavirus crisis during Trump's impeachment trial. Even today he admits he ignored reports and memos with the projections.,0,0,,#coronavirus,
2020-04-09 12:22:55+00:00,mallorygoucher,"We have the ability to turn things around. If we want freedom to do things by the time summer rolls around, we have the power to speed up the quarantine process. It sounds hard for some to do, but things will not start getting better if COVID continues to be ignored. #COVIDー19",0,3,,#COVID,
2020-04-09 11:56:10+00:00,BretWojcik,"For the love of God, WE NEED SPORTS BACK!! #coronavirus #ThursdayThoughts",0,0,,#coronavirus #ThursdayThoughts,
2020-04-09 11:51:01+00:00,BretWojcik,"When this is all said and done, how will this bear market/recession compare to the GFC? ##covid #stocks",0,0,,#covid #stocks,
2020-04-09 11:50:17+00:00,FreshCutChuck,They said only peoole WITH CASH on hand catching COVID-19..It’s been spreading thru the money the entire time,0,0,,,
2020-04-09 11:47:17+00:00,keith72504,"Trump is pure evil and the only thing that makes him happy is money. He could care less about the people who have died from the coronavirus. Blood is on the hands of Trump, his supporters, and Republican leadership. I will never trust these people. ",5,7,,,
2020-04-09 11:42:51+00:00,alainsaintvil,2020 will forever be remembered as the #coronavirus year.,0,0,,#coronavirus,
2020-04-09 11:40:38+00:00,EricWFAA,"Good morning from Fort Worth, TX. We’re discussing how the coronavirus outbreak has impacted the economy and kids screen time at home @wfaa @News8Daybreak #iamup",0,5,@wfaa @News8Daybreak,#iamup,
2020-04-09 11:37:44+00:00,JasonAAClements,@realDonaldTrump an absolute ruler unrestrained by law or constitution. a usurper of sovereignty. a ruler who exercises absolute power oppressively or brutally. one resembling an oppressive ruler in the harsh use of authority or power. #Mendacity2555 @ladygaga @RepGalonski #COVID,0,0,@realDonaldTrump @ladygaga @RepGalonski,#Mendacity2555 #COVID,
2020-04-09 11:36:46+00:00,kdfw015,The @SheratonDallas lights up a heart in it’s windows to show support and love to the people of Dallas who have been affected by COVID-19. #sheraton – at Sheraton Dallas Hotel,6,24,@SheratonDallas,#sheraton,
2020-04-09 11:35:23+00:00,ayokasystems,"#TechNews - #government &amp; police around the world lean on mobile app software development &amp; drones to report individuals breaching COVID-19 restrictions while New York City cops arrest people for being too close together, then put them even closer together in cells ",2,2,,#TechNews #government,
